Galaxy Name,m-M,err,distance,Method,REFCODE,Notes,RA,Dec,GLON,GLAT,Type (RC3),velocity
,(mag),(mag),(Mpc),,,,(J2000),(J2000),,,,(km/s)
NGC 4571,30.9,,15.1,Cepheids,1994Natur.371..385P,"3, R",12:36:56,#REF!,287.5,76.7,SAR7,298
"UGCA 290, Arp 211",29.1,0.12,6.7,TRGB,2002ApJ...567..258C,,12:37:22,#REF!,136.3,78,Im pec,494
NGC 4589,31.55,0.22,20.4,SBF,2003ApJ...583..712J,I,12:37:25,#REF!,124.2,42.9,E.2,2121
NGC 4578,31.15,0.3,17,SBF,1998ApJ...505..111J,K,12:37:31,#REF!,291.7,72.1,LAR0*,2229
"M58, NGC 4579",31.77,...,22.6,Tully-Fisher,LEDA [April 2006],,12:37:44,#REF!,290.4,74.4,SXT3,1470
ESO 322- G 038,32.48,0.34,31.3,SBF,2001ApJ...546..681T,I,12:38:18,-41:30:12,300.3,21.3,LX.-,2930
UGCA 292,27.44,...,3.1,BS,1998A&AS..128..459M,,12:38:40,#REF!,148.3,83.7,I..9?,327
NGC 4593,33.43,0.5,48.5,Sosies,2002A&A...393...57T,,12:39:39,-5:20:39,297.5,57.4,RSBT3,2393
NGC 4605,28.69,...,5.47,TRGB,2006AJ....131.1361K,,12:39:59,#REF!,125.3,55.5,SBS5P,254
"M104, NGC 4594",29.46,0.08,7.8,PNLF,2002ApJ...577...31C,,12:39:59,-11:37:23,298.5,51.1,SAS1./,969
IC 3635,29.7,...,8.7,GC radius,2005ApJ...634.1002J,GCrad,12:40:13,#REF!,291.9,75.5,S..6?,1518
NGC 4600,29.33,0.22,7.35,SBF,2001ApJ...546..681T,I,12:40:23,#REF!,296.2,65.8,L,710
NGC 4602,32.69,0.22,34.5,Sosies,2002A&A...393...57T,,12:40:37,-5:07:59,297.9,57.6,SXT4,2446
NGC 4603,32.61,0.1,33.3,Cepheids,1999ApJ...523..506N,"43, VI",12:40:55,-40:58:35,300.8,21.9,SAS5*,2377
UGC 07848,33.77,0.17,56.8,Sosies,2002A&A...393...57T,,12:40:57,#REF!,124.9,53.6,SX.6,2613
IC 3652,38.32,...,11.6,GC radius,2005ApJ...634.1002J,GCrad,12:40:59,#REF!,293.7,73.9,E,578
IC 3653,30.84,0.45,14.7,SBF,2001ApJ...546..681T,I,12:41:16,#REF!,293.8,74.1,E?,417
NGC 4612,30.64,...,13.4,GC radius,2005ApJ...634.1002J,GCrad,12:41:33,#REF!,295.7,70,RLX.0,1758
UGC 07857,29,...,6.3,BS,2000Ap.....43..367T,,12:41:54,#REF!,293,76.5,S..7,-12
NGC 4620,31.64,0.3,21.3,SBF,2001ApJ...546..681T,I,12:41:59,#REF!,293.6,75.6,L,1169
NGC 4627,29.13,...,6.7,TRGB,2006astro.ph..3457T,,12:42:00,#REF!,143,84.2,E.4.P,785
"M59, NGC 4621",30.82,0.06,14.6,GCLF,2001AJ....121.2950K,,12:42:02,#REF!,294.4,74.4,E.5,381
